content_id,Title,topic_ids,topic_keywords,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
C0000,Sodium glucose co-transporter 2 inhibitor-associated euglycaemic diabetic ketoacidosis in the emergency peri-operative period: a systematic review.,9,0.0,0.0004003187,0.00058433606,0.20502715,0.00050731376,0.00054102467,0.12990241,0.1873738,0.0006033033,0.00046935194,0.474591
C0001,Can Dual Incretin Receptor Agonists Exert Better Cardiovascular Protection than Selective GLP-1 Receptor Agonists? Highlights from SURPASS-CVOT.,5,0.0,0.00044007343,0.00064236496,0.00044564498,0.0005576939,0.0005947526,0.9947356,0.00064954284,0.0006632159,0.0005159622,0.0007551454
C0002,The association between diabetes management self-efficacy and quality of life among Palestinian patients with type 2 diabetes.,1,0.0,0.0016923993,0.53225994,0.44880128,0.0021447346,0.002287252,0.0028775954,0.0024979608,0.0025505426,0.001984246,0.0029040775
C0003,Intrinsic Motivation Moderates the Effect of Family Conflict on Disordered Eating Behaviors in Adolescents with Type 1 Diabetes.,0,0.0,0.54662895,0.2719519,0.0005720167,0.00071583944,0.00076340686,0.0009604448,0.17592463,0.0008512843,0.0006622738,0.00096928375
C0004,Inhibitory effects of the flavonoids extracted from Pollen Typhae on palmitic acid-induced NLRP3 inflammasome activation in macrophages involving AMPK-mediated lipid metabolism.,7,0.0,0.2091262,0.0046370085,0.0032169544,0.0040257964,0.0042933105,0.36641833,0.0046888217,0.3944179,0.0037245497,0.0054511274
C0005,Phytocannabinoids as Novel SGLT2 Modulators for Renal Glucose Reabsorption in Type 2 Diabetes Management.,5,0.0,0.00020274194,0.00029593776,0.29569355,0.00025692972,0.00027400267,0.5905724,0.00029924457,0.11181963,0.0002377039,0.000347896
C0006,Acrocomia aculeata Oil-Loaded Nanoemulsion: A Promising Candidate for Cancer and Diabetes Management.,7,0.0,0.00033333022,0.00048655452,0.21595162,0.00042242094,0.00045049077,0.000566763,0.00049199135,0.78033406,0.00039081156,0.0005719801
C0007,Beyond Green: The Therapeutic Potential of Chlorophyll and Its Derivatives in Diabetes Control.,5,0.0,0.0003509484,0.0005122713,0.00035539156,0.000444748,0.09541548,0.5019958,0.0005179955,0.3993937,0.00041146792,0.00060221105
C0008,In Vitro Assessment of the Bioaccessibility and Hypoglycemic Properties of Essential Amino Acids Blend: Implication for Diabetes Management.,4,0.0,0.00048867526,0.00071330817,0.44238162,0.0006192858,0.45934322,0.0008308964,0.0007212787,0.09349015,0.00057294517,0.0008385444
C0009,Emerging Frontiers in GLP-1 Therapeutics: A Comprehensive Evidence Base (2025).,5,0.0,0.0015598708,0.002276907,0.0015796195,0.0019767846,0.0021081418,0.98134,0.002302349,0.0023508144,0.0018288636,0.00267666
